,R_s,R_b,slope,intercept
305,760.0,260.0,1.8540436389644936,0.11404023089712292
306,760.0,310.0,1.9283888458384506,0.11978748671214881
307,760.0,360.0,1.8990225404663061,0.11700001008240589
308,760.0,410.0,1.8878906086994829,0.12065483952377816
309,760.0,460.0,1.833533415425322,0.1161153541085017
310,760.0,510.0,1.8667777492486113,0.11786283032943688
311,760.0,560.0,1.8630026976697114,0.11870179514737518
312,760.0,610.0,1.9182968453666245,0.12201021115821636
313,760.0,660.0,1.8684225740887404,0.11750407435128264
314,760.0,710.0,1.8902319706549253,0.11821204020859204
315,760.0,760.0,1.827600732994905,0.11722319884525349
316,760.0,810.0,1.8530147974601572,0.11909799258651294
317,760.0,860.0,1.8842601690946366,0.1176233158200886
318,760.0,910.0,1.8688476591081673,0.1151416952738611
319,760.0,960.0,1.8860560256172763,0.11771837951250176
320,810.0,10.0,1.9825432423440097,0.11681314949746519
321,810.0,60.0,1.8988868626344018,0.11544780633170411
322,810.0,110.0,1.9328516876326727,0.11663727018083186
323,810.0,160.0,1.9453176689565588,0.1166694893257891
324,810.0,210.0,1.884872664489393,0.11486440672838613
325,810.0,260.0,1.913267106491266,0.11717882505478201
326,810.0,310.0,1.9566693976112801,0.11819929950620235
327,810.0,360.0,1.91942991089103,0.11666948358053134
328,810.0,410.0,1.928772836857342,0.11659883033078226
329,810.0,460.0,1.8874757620486762,0.11840909787962714
330,810.0,510.0,1.8932071592278854,0.11623006268204933
331,810.0,560.0,1.8738177015709256,0.11622342456481725
332,810.0,610.0,1.872253147346714,0.11648287404648983
333,810.0,660.0,1.8722351900479246,0.11610517801453624
334,810.0,710.0,1.8781969049083875,0.11666188091767703
335,810.0,760.0,1.901266833809521,0.11781488223992535
336,810.0,810.0,1.875501174195598,0.11714276692528862
337,810.0,860.0,1.8914843373687196,0.11840221253089944
338,810.0,910.0,1.969564818215527,0.12103707165314458
339,810.0,960.0,1.8783950797385038,0.11779079319045811
340,860.0,10.0,2.0065477650708936,0.11584924215267961
341,860.0,60.0,1.9917681499988054,0.11770889694267639
342,860.0,110.0,1.9854804384858056,0.11623264264281473
343,860.0,160.0,1.9754155457504037,0.1156988481902076
344,860.0,210.0,1.982383794502036,0.11643378680980712
345,860.0,260.0,2.0395753331041417,0.11964849942852235
346,860.0,310.0,1.9779640763403872,0.11747438236641335
347,860.0,360.0,1.9743691041212061,0.11774840792730341
348,860.0,410.0,1.9851619979499837,0.11774917251306936
349,860.0,460.0,2.025998789758874,0.1209186789356713
350,860.0,510.0,1.94542112249219,0.1178106476860665
351,860.0,560.0,1.9608100729568327,0.1174653774343192
352,860.0,610.0,1.9582329581530924,0.11729758813094036
353,860.0,660.0,1.9567852492822775,0.11786193278857932
354,860.0,710.0,1.9448991565273541,0.11821713497632728
355,860.0,760.0,1.9536421850703216,0.11777282956412549
356,860.0,810.0,1.95081046162983,0.1185521189916826
357,860.0,860.0,1.9232894791577515,0.11640732618822382
358,860.0,910.0,1.9763395598451086,0.11779679834339565
359,860.0,960.0,1.872035184491633,0.11389070611972753
360,910.0,10.0,2.041721563756513,0.11554058912777221
361,910.0,60.0,2.108068275028422,0.1189189290988507
362,910.0,110.0,2.1085055549040983,0.11900279001142508
363,910.0,160.0,2.1005270259468474,0.1207661559464878
364,910.0,210.0,2.065261234650286,0.118971571459244
365,910.0,260.0,2.0738176477314285,0.11831973295010668
366,910.0,310.0,2.0500789350769404,0.11717723014799036
367,910.0,360.0,2.062530931462714,0.11837744935117064
368,910.0,410.0,2.0375012014741096,0.11903972719525839
369,910.0,460.0,2.0616058312954126,0.11901813003135252
370,910.0,510.0,2.0055674808456327,0.11622234116776255
371,910.0,560.0,1.9801332356518009,0.11601014498516578
372,910.0,610.0,1.9995962131560214,0.11816021631418265
373,910.0,660.0,2.032864064095116,0.12138980014212233
374,910.0,710.0,1.9303322904595681,0.11469419274780981
375,910.0,760.0,2.0756808523501378,0.11993680817375663
376,910.0,810.0,1.9948194149765122,0.11897036783586123
377,910.0,860.0,2.0467149683353845,0.12004898203058562
378,910.0,910.0,2.05252846864912,0.12043509166321005
379,910.0,960.0,2.1032176646196397,0.12177327388353354
380,960.0,10.0,2.040032737500154,0.11235143001185824
381,960.0,60.0,2.0740270497128654,0.1147187475130126
382,960.0,110.0,2.1791755305943563,0.11918060064736431
383,960.0,160.0,2.150520972790232,0.11827518170347556
384,960.0,210.0,2.194130050975228,0.11955088919185683
385,960.0,260.0,2.155406946228259,0.11877728978906563
386,960.0,310.0,2.043751988722378,0.1147802070402014
387,960.0,360.0,2.0325902479420836,0.11404959923416969
388,960.0,410.0,2.108935973994132,0.11850441650635009
389,960.0,460.0,2.158067666965444,0.1213853975170526
390,960.0,510.0,2.0987280762843152,0.11867597086088935
391,960.0,560.0,1.9986515833322607,0.11385563775364889
392,960.0,610.0,2.104181724873089,0.11873513199387577
393,960.0,660.0,2.098036997565536,0.11969631658786731
394,960.0,710.0,2.0421700858569447,0.1172294526244279
395,960.0,760.0,2.100531090595188,0.11918923327718924
396,960.0,810.0,2.1050055873862497,0.1195068961644865
397,960.0,860.0,2.0772127333962995,0.11576662851562507
398,960.0,910.0,2.0748701762809105,0.11748252559192368
399,960.0,960.0,2.091827701488008,0.11676777885142173
